"code","excluded","topic","type","delivery","level","hasOnDemand","onDemandUrl","captionFileLink","ogImage","title","oneliner","tags","speakers","start"
"KEY01","False","@{displayValue=; logicalValue=}","Keynote","In-person|Online","(200) Intermediate","True","https://medius.microsoft.com/Embed/video-nc/9b6fd85d-e64f-46a4-b8b2-23811087192f","https://medius.microsoft.com/video/asset/Transcript/9b6fd85d-e64f-46a4-b8b2-23811087192f","https://medius.microsoft.com/video/asset/Thumbnail/9b6fd85d-e64f-46a4-b8b2-23811087192f","Microsoft Build opening keynote","<p><strong>Opening and Vision for Developers:</strong> The session begins with <a class=""medius-aisummary"" data-starttime=""00:01:23"">00:01:23</a> by greeting...","AI|Windows","Satya Nadella","2026/06/02 16:30:00"
"KEY01-O1","False","@{displayValue=; logicalValue=}","Keynote","In-person","(200) Intermediate","False","","","https://mediastream.microsoft.com/Build2026/V1/itse/1778527811637001WS8E_20260513131810588.avif","Overflow Keynote Viewing: BATS Improv","Due to limited seating in the Festival Pavillion, this location is available for overflow keynote viewing.","AI|Windows","","2026/06/02 16:30:00"
"KEY01-O2","False","@{displayValue=; logicalValue=}","Keynote","In-person","(200) Intermediate","False","","","https://mediastream.microsoft.com/Build2026/V1/itse/1778527729376001IFme_20260513131801930.avif","Overflow Keynote Viewing: Cowell Theater","Due to limited seating in the Festival Pavillion, this location is available for overflow keynote viewing.","AI|Windows","","2026/06/02 16:30:00"
"KEY01-O5","False","@{displayValue=; logicalValue=}","Keynote","In-person","(200) Intermediate","False","","","https://mediastream.microsoft.com/Build2026/V1/itse/1778527797402001uj2B_20260521160548581.avif","Overflow Keynote Viewing: Festival Pavilion, Theater A","Due to limited seating in the Festival Pavillion, this location is available for overflow keynote viewing.","AI|Windows","","2026/06/02 16:30:00"
"KEY01-O3","False","@{displayValue=; logicalValue=}","Keynote","In-person","(200) Intermediate","False","","","https://mediastream.microsoft.com/Build2026/V1/itse/1778527633559001BZRp_20260513131744288.avif","Overflow Keynote Viewing: Gateway Pavilion","Due to limited seating in the Festival Pavillion, this location is available for overflow keynote viewing.","AI|Windows","","2026/06/02 16:30:00"
"KEY01-O4","False","@{displayValue=; logicalValue=}","Keynote","In-person","(200) Intermediate","False","","","https://mediastream.microsoft.com/Build2026/V1/itse/1778527634258001BXDV_20260513131754370.avif","Overflow Keynote Viewing: Outdoor Theater","Due to limited seating in the Festival Pavillion, this location is available for overflow keynote viewing.","AI|Windows","","2026/06/02 16:30:00"
"LIVE150","False","@{displayValue=; logicalValue=}","Broadcast Stage","Online","","True","https://medius.microsoft.com/Embed/video-nc/71402de9-8577-4995-8601-383d2da82704","https://medius.microsoft.com/video/asset/Caption/71402de9-8577-4995-8601-383d2da82704","https://medius.microsoft.com/video/asset/Thumbnail/71402de9-8577-4995-8601-383d2da82704","Agent Skills","<p><strong>Introduction and Guest Overview:</strong> The video opens at <a class=""medius-aisummary"" data-starttime=""00:00:06"">00:00:06</a> with a friendly re...","","Burke Holland, Addy Osmani",
"LIVE110","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/b149b982-e4e6-475e-8a2d-8c9391b83ab7","https://medius.microsoft.com/video/asset/Transcript/b149b982-e4e6-475e-8a2d-8c9391b83ab7","https://medius.microsoft.com/video/asset/Thumbnail/b149b982-e4e6-475e-8a2d-8c9391b83ab7","Backing the future of innovation","<p><strong>Introduction and Overview:</strong> The session begins with a friendly welcome and introductions around <a class=""medius-aisummary"" data-starttime...","","The Chainsmokers, Charles Lamanna","2026/06/02 22:15:00"
"LIVE144","True","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/710e231b-0fbe-47fb-8681-ad4344165d34","https://medius.microsoft.com/video/asset/Transcript/710e231b-0fbe-47fb-8681-ad4344165d34","https://medius.microsoft.com/video/asset/Thumbnail/710e231b-0fbe-47fb-8681-ad4344165d34","Behind the Keynote: How Windows Made OpenClaw Work in the Keynote Demo","<p><strong>Introduction and Collaboration Story:</strong> The video begins with Monica Cisneros introducing herself as the Senior Product Marketing Manager f...","","Monica Cisneros, Scott Hanselman","2026/06/02 23:40:00"
"LIVE159","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/47bd4df9-ea64-49d9-bd10-d4e2f5baefcc","https://medius.microsoft.com/video/asset/Transcript/47bd4df9-ea64-49d9-bd10-d4e2f5baefcc","https://medius.microsoft.com/video/asset/Thumbnail/47bd4df9-ea64-49d9-bd10-d4e2f5baefcc","Behind the Scenes: Accelerating the AI Agent DevOps Lifecycle with End-to-End Observability","<p><strong>Introductions and Session Overview:</strong> The session opens with greetings and introductions as the host, Nithya, welcomes the audience and her...","","Vivek Bhadauria, Nitya Narasimhan, Filisha Shah","2026/06/03 21:10:00"
"LIVE100","False","@{displayValue=; logicalValue=}","Broadcast Stage","Online","","True","https://medius.microsoft.com/Embed/video-nc/b78416d2-cb5f-4e7c-8b39-f3c7404caf3c","https://medius.microsoft.com/video/asset/Caption/b78416d2-cb5f-4e7c-8b39-f3c7404caf3c","https://medius.microsoft.com/video/asset/Thumbnail/b78416d2-cb5f-4e7c-8b39-f3c7404caf3c","Build 2026 podcast with Satya Nadella, Sarah Guo and Elad Gil from No Priors, and Swyx from Latent Space","Satya Nadella sits down for an interview after the Build 2026 keynote with Sarah Guo and Elad Gil from No Priors, and Swyx from Latent Space to discuss Micro...","","Satya Nadella, swyx (Shawn Wang), Elad Gil, Sarah Guo",
"LIVE172","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/8eb66ee9-b869-4e25-a1e3-d19c18f30d2b","https://medius.microsoft.com/video/asset/Transcript/8eb66ee9-b869-4e25-a1e3-d19c18f30d2b","https://medius.microsoft.com/video/asset/Thumbnail/8eb66ee9-b869-4e25-a1e3-d19c18f30d2b","Build and ship faster with a developer-optimized Windows experience","<p><strong>Introduction and Windows Developer First Vision:</strong> The session opens with Aditya Ramnathkar, joined by software engineers Beth Pan and Nico...","","Nikola Metulev, Beth Pan, Aditya Ramnathkar","2026/06/02 21:45:00"
"LIVE168","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/13f19aee-b872-4a65-8156-2ae9842c4178","https://medius.microsoft.com/video/asset/Caption/13f19aee-b872-4a65-8156-2ae9842c4178","https://medius.microsoft.com/video/asset/Thumbnail/13f19aee-b872-4a65-8156-2ae9842c4178","Claude Is in Copilot. Here's What That Actually Means","<p><strong>Opening and Introduction:</strong> The session begins with a lighthearted welcome as the hosts re-engage the audience at <a class=""medius-aisummar...","","Burke Holland, Tyler Leonhardt","2026/06/03 20:10:00"
"LIVE145","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/f6e2dbf7-2eac-48a8-ac0f-9c687945de59","https://medius.microsoft.com/video/asset/Transcript/f6e2dbf7-2eac-48a8-ac0f-9c687945de59","https://medius.microsoft.com/video/asset/Thumbnail/f6e2dbf7-2eac-48a8-ac0f-9c687945de59","Coding and Personal Agents with Ollama","<p><strong>Introduction and Overview:</strong> The conversation begins with enthusiastic introductions from the Microsoft Build stage, featuring Michael Chan...","","Michael Chiang, John Maeda, Parth Sareen","2026/06/02 23:55:00"
"LIVE149","False","@{displayValue=; logicalValue=}","Broadcast Stage","Online","","True","https://medius.microsoft.com/Embed/video-nc/4b5c196a-6068-418a-81e9-a122f5107c15","https://medius.microsoft.com/video/asset/Caption/4b5c196a-6068-418a-81e9-a122f5107c15","https://medius.microsoft.com/video/asset/Thumbnail/4b5c196a-6068-418a-81e9-a122f5107c15","Day 1 Recap: What You Missed (or Watched Twice)","<p><strong>Opening and Introductions:</strong> The session begins with a warm welcome to day two of Microsoft Build by Burke, who lightheartedly encourages a...","","Pierce Boggan, Burke Holland",
"LIVE156","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/705403fe-f8ee-43bd-a13d-b49502401ad9","https://medius.microsoft.com/video/asset/Transcript/705403fe-f8ee-43bd-a13d-b49502401ad9","https://medius.microsoft.com/video/asset/Thumbnail/705403fe-f8ee-43bd-a13d-b49502401ad9","Designing VS Code’s UX for the Agentic Era","<p><strong>Introduction and Team Overview:</strong> At <a class=""medius-aisummary"" data-starttime=""00:00:00"">00:00:00</a>–<a class=""medius-aisummary"" data-st...","","Burke Holland, Joanna Oikawa","2026/06/03 20:25:00"
"LIVE151","False","@{displayValue=; logicalValue=}","Broadcast Stage","Online","","True","https://medius.microsoft.com/Embed/video-nc/175f1178-984b-4d72-b15b-108d8d67dec2","https://medius.microsoft.com/video/asset/Caption/175f1178-984b-4d72-b15b-108d8d67dec2","https://medius.microsoft.com/video/asset/Thumbnail/175f1178-984b-4d72-b15b-108d8d67dec2","Extend GitHub Copilot with the Copilot SDK","<p><strong>Introduction and Event Context:</strong> The video opens with the host greeting viewers from Build 2026 and introducing Patrick Nicoletich, a lead...","","Burke Holland, Patrick Nikoletich",
"LIVESP125","False","@{displayValue=; logicalValue=}","Broadcast Stage","Online","","True","https://medius.microsoft.com/Embed/video-nc/b983d7e1-2c7f-4ee0-9c08-537ea501e895","https://medius.microsoft.com/video/asset/Transcript/b983d7e1-2c7f-4ee0-9c08-537ea501e895","https://medius.microsoft.com/video/asset/Thumbnail/b983d7e1-2c7f-4ee0-9c08-537ea501e895","Fireworks AI quick take: Live from Microsoft Build","<p><strong>Introduction from the Microsoft Build Show Floor:</strong> The video opens with the host welcoming viewers back to the show floor at Microsoft Bui...","","Vivek Chauhan",
"LIVE162","False","@{displayValue=; logicalValue=}","Broadcast Stage","In-person|Online","","True","https://medius.microsoft.com/Embed/video-nc/4ab34223-dd67-4829-846d-ca53fe37892b","https://medius.microsoft.com/video/asset/Caption/4ab34223-dd67-4829-846d-ca53fe37892b","https://medius.microsoft.com/video/asset/Thumbnail/4ab34223-dd67-4829-846d-ca53fe37892b","From issue to merge in one loop: the GitHub Copilot app","<p><strong>Opening Banter and Setup:</strong> The video begins with lighthearted chatter among the hosts as they prepare to go live.","","Burke Holland, Seth Juarez","2026/06/03 19:30:00"
"LIVESP128","False","@{displayValue=; logicalValue=}","Broadcast Stage","Online","","True","https://medius.microsoft.com/Embed/video-nc/4f44c7a4-7e1a-4fc3-b614-690604749d97","https://medius.microsoft.com/video/asset/Caption/4f44c7a4-7e1a-4fc3-b614-690604749d97","https://medius.microsoft.com/video/asset/Thumbnail/4f44c7a4-7e1a-4fc3-b614-690604749d97","From local AI PCs to Azure: The future of open-source AI development","<p><strong>Introduction and Setting:</strong> The video opens with a welcome back to the broadcast stage at Microsoft Build in the vibrant city of San Franci...","","Adrian Macias","2026/06/02 21:30:00"
